,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Total
Afghanistan,,19,,22,78,280,245,520,410,144,69,1787
Algeria,,,,,,,11,11,,,,22
Angola,,,,,,,,,,1,,1
Argentina,18,3,9,15,16,13,9,32,36,38,6,195
Australia,114,101,348,574,320,610,1389,1004,589,148,326,5522
Azerbaijan,,,,,,0,1,1,2,0,1,4
Bahamas,,3,,,,1,,,,,,4
Bahrain,,63,3,26,2,,68,,,66,9,236
Bangladesh,,,,,,,,,,56,,56
Belgium,9,3,3,4,6,12,3,2,6,2,2,53
Bolivia,,,,,,,,1,1,1,6,8
Botswana,,,,,,2,2,,,,,4
Brazil,20,18,18,19,33,0,24,84,111,69,17,413
Brunei,0,,,,,,,,,15,36,51
Bulgaria,,,,3,5,,,3,,,,11
Cameroon,,,,,,,10,,,2,,12
Canada,71,96,68,410,360,97,197,319,188,162,194,2160
Central African Republic,,,9,,,,,,,,,9
Chad,,,1,,,,,,,,6,7
Chile,16,,254,81,,30,132,39,38,27,55,671
Colombia,,4,31,126,16,147,58,80,77,99,56,693
Congo,,,,,,,1,,,,,1
Costa Rica,,,,,,,,,1,,1,2
Croatia,,,,,,,,,,,22,22
Czech Republic,,40,0,,14,1,2,3,2,0,,63
Denmark,140,26,8,85,6,0,,,36,32,32,366
Djibouti,,,,,,,,,,,2,2
Dominican Republic,35,,,,,,,,,,,35
DR Congo,,,,,,28,,,,,,28
Ecuador,,4,,,,1,10,,,,,14
Egypt,500,588,429,372,263,82,249,160,177,494,190,3503
El Salvador,,,,,,,,,2,,,2
Equatorial Guinea,,,,1,,2,,,5,,10,18
Estonia,,,,,,,,,,,1,1
Ethiopia,,,,,,,,,,,10,10
Finland,,,,,9,9,9,2,,75,44,148
France,78,2,2,,1,,51,23,39,55,17,269
Gabon,,,,,,,1,,,,,1
Georgia,,,,,2,4,,,,,1,7
Germany (FRG),89,56,16,16,268,319,255,47,25,42,46,1180
Ghana,,,,2,,,,2,2,,,6
Greece,823,102,20,253,10,924,151,19,6,9,61,2378
Honduras,,,,,0,,,0,0,,,1
Hungary,,,30,25,,4,18,4,,2,,82
India,,,84,89,5,2,54,203,139,986,1141,2702
Indonesia,4,4,11,17,14,,,0,35,85,150,321
Iraq,6,43,47,137,280,311,363,430,340,255,285,2497
Ireland,,,1,3,3,,,,,,,6
Israel,839,1114,1110,839,663,134,41,59,107,65,121,5091
Italy,401,68,22,42,43,14,30,231,161,25,94,1130
Jamaica,,,,3,2,,1,,,,,6
Japan,352,414,444,470,659,490,381,263,243,258,458,4432
Jordan,25,5,3,164,32,15,6,24,38,44,91,447
Kazakhstan,19,,,6,3,3,,,3,,3,37
Kenya,,,,,,,,0,0,,,1
Kuwait,,5,5,279,,1,37,36,22,52,681,1118
Latvia,,,,,,11,14,,,,,25
Lebanon,,1,,,,16,10,1,31,21,5,84
Lithuania,3,3,13,4,3,3,,,0,,,29
Macedonia (FYROM),,,0,,,,,,,,,0
Malaysia,10,2,14,14,,10,12,2,,0,10,74
Malta,,,,,,,,8,8,,,15
Mauritania,,,,,,,,,,,2,2
Mexico,90,8,29,,20,27,28,90,51,53,33,429
Morocco,,,20,,,3,33,439,430,51,21,996
Namibia,,,,,,,,,5,,,5
NATO**,,,,,,420,,,,,,420
Netherlands,95,55,237,28,12,88,38,13,148,130,,843
New Zealand,33,,0,1,2,,,,,,55,91
Niger,,,,,,,,,,2,,2
Nigeria,,,,,,,,54,,,62,116
Norway,5,3,65,71,119,107,85,81,68,26,1,630
Oman,13,148,283,16,71,2,2,,38,35,468,1075
Pakistan,50,147,85,368,279,122,1000,245,252,140,189,2877
Panama,,,,,,5,,,15,,,20
Paraguay,,,,,,,,1,1,0,,2
Peru,47,25,22,,,2,5,2,5,8,,115
Philippines,20,12,13,13,10,0,,60,6,55,12,202
Poland,5,11,346,850,480,87,41,16,16,,1,1852
Portugal,57,32,43,58,88,90,89,89,29,,1,574
Qatar,,,,,,280,,150,280,,,710
Romania,,14,3,22,2,32,61,42,3,3,0,182
Saudi Arabia,324,153,172,149,235,231,345,398,401,615,1383,4406
Senegal,,,,,,,,2,,,,2
Serbia,,,,,,,,,0,,,0
Seychelles,,,,,,,,,,1,,1
Singapore,362,530,30,8,25,772,748,492,446,670,627,4709
Somalia,,,,,,,,,,1,,1
South Africa,,,14,30,11,9,13,16,9,,,103
South Korea,873,619,1358,1233,1121,209,1188,1462,985,93,332,9472
Spain,164,5,81,21,18,50,7,40,116,64,40,606
Sri Lanka,13,,,2,,,,10,,,,25
Sweden,26,58,56,24,9,2,,150,185,16,1,528
Switzerland,18,,,2,1,2,28,14,4,1,0,70
Taiwan (ROC),314,641,503,12,11,,37,138,425,553,1081,3715
Thailand,37,17,5,,,4,1,50,21,54,10,199
Trinidad and Tobago,,,,6,,,,12,12,,,30
Tunisia,,,2,,3,,7,7,,38,39,96
Turkey,129,290,5,25,49,21,11,331,1009,355,1116,3339
UAE,380,1259,994,472,677,394,153,863,923,1063,542,7719
United Kingdom,165,15,108,290,438,277,331,213,400,331,194,2762
United Nations**,,,,,,,,,,,1,1
Unknown country,,,,,,,3,,,,0,3
Yemen,,,3,,5,,,12,,4,,24
,,,,,,,,,,,,
Total,6790,6827,7481,7800,6799,6806,8098,9104,9163,7687,10470,87025